,Age,Overall,Potential
0,32,94,94
1,30,93,93
2,25,92,94
3,30,92,92
4,31,92,92
5,28,91,91
6,26,90,92
7,26,90,91
8,27,90,90
9,29,90,90
10,31,90,90
11,26,89,92
12,25,89,92
13,28,89,89
14,31,89,89
15,27,89,89
16,29,89,89
17,32,89,89
18,39,89,89
19,23,88,93
20,24,88,93
21,26,88,91
22,26,88,90
23,28,88,88
24,30,88,88
25,28,88,88
26,31,88,88
27,28,88,88
28,28,88,88
29,30,88,88
30,32,88,88
31,35,88,88
32,33,88,88
33,26,87,90
34,24,87,91
35,24,87,92
36,25,87,91
37,30,87,87
38,30,87,87
39,29,87,87
40,29,87,87
41,29,87,87
42,31,87,87
43,32,87,87
44,30,87,87
45,33,87,87
46,23,86,90
47,25,86,89
48,25,86,90
49,25,86,88
50,24,86,90
51,26,86,88
52,27,86,86
53,28,86,86
54,25,86,89
55,28,86,86
56,28,86,87
57,30,86,86
58,28,86,86
59,29,86,86
60,28,86,86
61,30,86,86
62,29,86,86
63,32,86,86
64,29,86,86
65,30,86,86
66,34,86,86
67,34,86,86
68,35,86,86
69,23,85,90
70,24,85,92
71,25,85,89
72,26,85,86
73,26,85,88
74,30,85,85
75,28,85,85
76,32,85,85
77,25,85,88
78,25,85,89
79,29,85,85
80,28,85,85
81,26,85,87
82,27,85,87
83,29,85,85
84,27,85,86
85,31,85,85
86,30,85,85
87,30,85,85
88,30,85,85
89,31,85,85
90,31,85,85
91,36,85,85
92,23,84,89
93,21,84,92
94,22,84,91
95,23,84,89
96,21,84,90
97,25,84,87
98,25,84,87
99,23,84,87
100,24,84,89
101,24,84,88
102,26,84,87
103,24,84,90
104,25,84,88
105,26,84,86
106,25,84,86
107,27,84,84
108,27,84,85
109,29,84,84
110,26,84,86
111,33,84,84
112,28,84,84
113,31,84,84
114,28,84,84
115,30,84,84
116,28,84,85
117,28,84,85
118,29,84,84
119,30,84,84
120,30,84,84
121,31,84,84
122,31,84,84
123,31,84,84
124,34,84,84
125,29,84,84
126,36,84,84
127,18,83,94
128,20,83,92
129,22,83,88
130,22,83,87
131,25,83,89
132,21,83,91
133,24,83,88
134,21,83,89
135,23,83,89
136,23,83,88
137,25,83,86
138,23,83,90
139,25,83,85
140,23,83,89
141,25,83,86
142,23,83,88
143,26,83,84
144,25,83,86
145,25,83,87
146,25,83,86
147,27,83,83
148,26,83,86
149,25,83,88
150,24,83,88
151,25,83,85
152,27,83,84
153,29,83,83
154,29,83,83
155,28,83,83
156,28,83,83
157,28,83,83
158,28,83,83
159,27,83,83
160,28,83,83
161,27,83,84
162,25,83,86
163,28,83,83
164,26,83,86
165,27,83,84
166,30,83,83
167,28,83,83
168,30,83,83
169,29,83,83
170,31,83,83
171,29,83,83
172,29,83,83
173,29,83,83
174,29,83,83
175,28,83,84
176,27,83,85
177,33,83,83
178,30,83,83
179,32,83,83
180,30,83,83
181,31,83,83
182,30,83,84
183,29,83,83
184,32,83,83
185,31,83,83
186,31,83,83
187,32,83,83
188,35,83,83
189,32,83,83
190,33,83,83
191,33,83,83
192,30,83,83
193,33,83,83
194,34,83,83
195,33,83,83
196,34,83,83
197,36,83,83
198,18,82,94
199,21,82,91
200,22,82,88
201,22,82,89
202,29,82,82
203,23,82,85
204,25,82,83
205,22,82,90
206,21,82,88
207,23,82,88
208,21,82,87
209,23,82,88
210,21,82,90
211,22,82,88
212,25,82,85
213,26,82,83
214,22,82,90
215,28,82,82
216,30,82,82
217,28,82,82
218,23,82,88
219,23,82,87
220,25,82,85
221,24,82,86
222,24,82,85
223,26,82,86
224,26,82,86
225,28,82,82
226,26,82,84
227,24,82,85
228,27,82,82
229,22,82,87
230,23,82,87
231,23,82,89
232,23,82,87
233,27,82,83
234,24,82,85
235,24,82,85
236,29,82,82
237,24,82,85
238,27,82,82
239,27,82,82
240,25,82,86
241,27,82,84
242,29,82,82
243,28,82,83
244,25,82,85
245,29,82,82
246,27,82,83
247,26,82,82
248,26,82,84
249,29,82,82
250,26,82,84
251,26,82,85
252,29,82,82
253,29,82,82
254,28,82,82
255,26,82,82
256,26,82,83
257,27,82,84
258,27,82,82
259,27,82,82
260,28,82,82
261,27,82,84
262,29,82,82
263,31,82,82
264,28,82,82
265,31,82,82
266,31,82,82
267,26,82,85
268,30,82,82
269,30,82,82
270,33,82,82
271,29,82,82
272,30,82,82
273,28,82,83
274,28,82,82
275,34,82,82
276,30,82,82
277,34,82,82
278,27,82,82
279,26,82,83
280,28,82,82
281,31,82,82
282,30,82,82
283,30,82,82
284,32,82,82
285,32,82,82
286,32,82,82
287,30,82,82
288,30,82,82
289,29,82,82
290,31,82,82
291,30,82,82
292,31,82,82
293,32,82,82
294,30,82,82
295,32,82,82
296,35,82,82
297,33,82,82
298,32,82,82
299,20,81,92
300,23,81,87
301,22,81,88
302,20,81,87
303,21,81,87
304,21,81,88
305,26,81,83
306,24,81,85
307,23,81,87
308,27,81,82
309,21,81,89
310,22,81,87
311,22,81,86
312,22,81,87
313,22,81,87
314,22,81,86
315,23,81,86
316,30,81,81
317,24,81,85
318,24,81,87
319,25,81,84
320,22,81,88
321,24,81,87
322,26,81,82
323,25,81,84
324,24,81,86
325,24,81,86
326,27,81,83
327,28,81,83
328,25,81,86
329,26,81,82
330,28,81,81
331,23,81,86
332,26,81,84
333,24,81,84
334,26,81,83
335,24,81,85
336,26,81,83
337,27,81,83
338,26,81,83
339,27,81,83
340,27,81,81
341,27,81,81
342,26,81,82
343,24,81,84
344,24,81,85
345,26,81,84
346,26,81,83
347,25,81,85
348,27,81,83
349,27,81,81
350,28,81,81
351,27,81,82
352,28,81,81
353,25,81,84
354,27,81,82
355,24,81,87
356,27,81,82
357,27,81,84
358,28,81,81
359,29,81,81
360,27,81,82
361,26,81,83
362,28,81,81
363,32,81,81
364,29,81,81
365,27,81,82
366,31,81,81
367,27,81,82
368,28,81,81
369,28,81,82
370,30,81,81
371,32,81,81
372,29,81,81
373,30,81,81
374,29,81,81
375,30,81,81
376,32,81,81
377,31,81,81
378,30,81,81
379,33,81,81
380,31,81,81
381,33,81,81
382,33,81,81
383,35,81,81
384,32,81,81
385,35,81,81
386,33,81,81
387,31,81,81
388,32,81,81
389,34,81,81
390,33,81,81
391,36,81,81
392,19,80,89
393,22,80,86
394,20,80,90
395,24,80,86
396,22,80,85
397,24,80,84
398,24,80,84
399,21,80,88
400,23,80,84
401,22,80,88
402,22,80,85
403,23,80,87
404,23,80,86
405,21,80,87
406,24,80,85
407,27,80,81
408,23,80,85
409,24,80,83
410,22,80,87
411,24,80,86
412,27,80,81
413,26,80,80
414,24,80,83
415,24,80,84
416,23,80,87
417,23,80,85
418,24,80,85
419,29,80,80
420,24,80,84
421,24,80,84
422,27,80,80
423,24,80,85
424,29,80,80
425,24,80,83
426,26,80,82
427,30,80,80
428,28,80,80
429,26,80,83
430,25,80,83
431,23,80,85
432,26,80,82
433,24,80,85
434,27,80,82
435,27,80,81
436,27,80,80
437,26,80,83
438,27,80,81
439,26,80,81
440,26,80,81
441,28,80,80
442,26,80,83
443,25,80,82
444,31,80,80
445,28,80,80
446,26,80,80
447,27,80,81
448,24,80,83
449,27,80,81
450,27,80,80
451,27,80,80
452,28,80,81
453,29,80,80
454,26,80,83
455,27,80,81
456,27,80,81
457,27,80,81
458,26,80,81
459,29,80,80
460,28,80,80
461,27,80,81
462,29,80,80
463,29,80,80
464,27,80,82
465,29,80,80
466,30,80,80
467,30,80,80
468,31,80,80
469,28,80,81
470,30,80,80
471,31,80,80
472,30,80,80
473,32,80,80
474,30,80,80
475,30,80,80
476,30,80,80
477,30,80,80
478,29,80,80
479,30,80,80
480,30,80,80
481,30,80,80
482,28,80,80
483,30,80,80
484,30,80,80
485,27,80,81
486,25,80,83
487,27,80,80
488,29,80,80
489,31,80,80
490,30,80,80
491,32,80,80
492,31,80,80
493,31,80,80
494,28,80,80
495,32,80,80
496,34,80,80
497,32,80,80
498,32,80,80
499,31,80,80
500,31,80,80
501,32,80,80
502,32,80,80
503,33,80,80
504,33,80,80
505,33,80,80
506,34,80,80
507,34,80,80
508,35,80,80
509,31,80,80
510,34,80,80
511,31,80,80
512,33,80,80
513,33,80,80
514,34,80,80
515,36,80,80
516,34,80,80
517,37,80,80
518,35,80,80
519,23,79,83
520,20,79,86
521,26,79,81
522,28,79,82
523,24,79,84
524,25,79,82
525,22,79,86
526,23,79,85
527,22,79,84
528,21,79,87
529,25,79,83
530,25,79,83
531,24,79,85
532,27,79,82
533,27,79,80
534,22,79,87
535,21,79,86
536,26,79,82
537,22,79,87
538,23,79,87
539,23,79,84
540,22,79,86
541,21,79,86
542,22,79,84
543,23,79,84
544,22,79,86
545,24,79,84
546,23,79,83
547,23,79,86
548,22,79,87
549,22,79,85
550,23,79,83
551,25,79,83
552,21,79,85
553,23,79,86
554,23,79,84
555,23,79,84
556,21,79,87
557,21,79,84
558,27,79,79
559,24,79,84
560,25,79,84
561,23,79,86
562,24,79,83
563,24,79,82
564,24,79,83
565,22,79,86
566,26,79,82
567,25,79,83
568,26,79,81
569,23,79,85
570,24,79,84
571,25,79,84
572,23,79,84
573,28,79,79
574,26,79,81
575,25,79,82
576,24,79,82
577,26,79,82
578,25,79,83
579,26,79,81
580,26,79,80
581,25,79,82
582,27,79,81
583,25,79,82
584,24,79,82
585,27,79,79
586,23,79,84
587,23,79,85
588,28,79,79
589,26,79,82
590,26,79,81
591,25,79,81
592,30,79,79
593,25,79,82
594,25,79,83
595,26,79,80
596,26,79,83
597,25,79,83
598,25,79,80
599,30,79,79
600,25,79,82
601,28,79,79
602,29,79,79
603,24,79,86
604,27,79,79
605,25,79,81
606,26,79,81
607,26,79,80
608,30,79,79
609,26,79,82
610,25,79,82
611,26,79,82
612,29,79,79
613,29,79,79
614,28,79,79
615,27,79,79
616,26,79,80
617,28,79,79
618,27,79,80
619,28,79,80
620,29,79,79
621,32,79,79
622,28,79,79
623,28,79,79
624,27,79,79
625,28,79,80
626,27,79,80
627,31,79,79
628,31,79,79
629,27,79,79
630,25,79,82
631,29,79,79
632,28,79,79
633,29,79,79
634,29,79,79
635,31,79,79
636,30,79,79
637,28,79,79
638,30,79,79
639,30,79,79
640,29,79,80
641,30,79,79
642,30,79,79
643,29,79,79
644,26,79,80
645,29,79,79
646,31,79,79
647,27,79,79
648,28,79,79
649,28,79,80
650,30,79,79
651,29,79,79
652,30,79,79
653,26,79,81
654,30,79,79
655,31,79,79
656,33,79,79
657,28,79,79
658,30,79,79
659,28,79,79
660,29,79,79
661,29,79,79
662,30,79,79
663,31,79,79
664,31,79,79
665,33,79,79
666,33,79,79
667,30,79,79
668,30,79,79
669,34,79,79
670,31,79,79
671,31,79,79
672,27,79,80
673,36,79,79
674,35,79,79
675,31,79,79
676,33,79,79
677,32,79,79
678,33,79,79
679,31,79,79
680,33,79,79
681,32,79,79
682,31,79,79
683,35,79,79
684,33,79,79
685,33,79,79
686,33,79,79
687,36,79,79
688,32,79,79
689,38,79,79
690,36,79,79
691,38,79,79
692,36,79,79
693,36,79,79
694,25,78,80
695,21,78,86
696,19,78,88
697,22,78,84
698,18,78,89
699,20,78,87
700,21,78,85
701,21,78,85
702,24,78,83
703,22,78,84
704,28,78,78
705,23,78,85
706,20,78,84
707,25,78,79
708,22,78,84
709,20,78,88
710,21,78,85
711,27,78,79
712,22,78,83
713,25,78,81
714,21,78,86
715,25,78,80
716,24,78,80
717,21,78,84
718,23,78,85
719,24,78,83
720,29,78,78
721,25,78,83
722,25,78,82
723,26,78,81
724,27,78,79
725,23,78,84
726,24,78,82
727,22,78,85
728,22,78,85
729,25,78,79
730,22,78,85
731,22,78,85
732,23,78,85
733,29,78,78
734,24,78,83
735,26,78,82
736,28,78,78
737,27,78,78
738,24,78,83
739,26,78,80
740,24,78,83
741,28,78,78
742,24,78,84
743,27,78,80
744,24,78,81
745,23,78,82
746,24,78,80
747,23,78,85
748,26,78,79
749,26,78,81
750,23,78,82
751,24,78,82
752,28,78,78
753,22,78,86
754,29,78,78
755,23,78,82
756,22,78,86
757,26,78,80
758,26,78,80
759,26,78,80
760,22,78,85
761,24,78,82
762,25,78,81
763,28,78,78
764,25,78,82
765,22,78,84
766,22,78,84
767,23,78,82
768,23,78,84
769,25,78,81
770,25,78,80
771,26,78,81
772,27,78,78
773,31,78,78
774,28,78,78
775,25,78,83
776,27,78,78
777,29,78,79
778,26,78,80
779,30,78,78
780,26,78,83
781,27,78,78
782,26,78,80
783,24,78,82
784,27,78,78
785,25,78,82
786,25,78,81
787,25,78,82
788,28,78,78
789,29,78,79
790,27,78,80
791,26,78,81
792,26,78,81
793,27,78,78
794,28,78,78
795,29,78,78
796,24,78,80
797,31,78,78
798,32,78,78
799,27,78,78
800,28,78,79
801,33,78,78
802,34,78,78
803,25,78,79
804,23,78,82
805,25,78,81
806,31,78,78
807,30,78,78
808,31,78,78
809,23,78,82
810,25,78,83
811,33,78,78
812,35,78,78
813,38,78,78
814,33,78,78
815,28,78,78
816,22,78,84
817,35,78,78
818,24,78,80
819,30,78,78
820,29,78,79
821,24,78,83
822,25,78,81
823,31,78,78
824,28,78,78
825,31,78,78
826,26,78,81
827,22,78,85
828,26,78,79
829,33,78,78
830,29,78,78
831,25,78,80
832,23,78,84
833,24,78,82
834,26,78,80
835,29,78,78
836,25,78,82
837,28,78,78
838,27,78,79
839,37,78,78
840,27,78,78
841,22,78,83
842,31,78,78
843,20,78,87
844,36,78,78
845,30,78,78
846,31,78,78
847,32,78,78
848,29,78,78
849,29,78,78
850,35,78,78
851,30,78,78
852,29,78,78
853,39,78,78
854,27,78,81
855,29,78,78
856,25,78,79
857,21,78,85
858,25,78,82
859,24,78,83
860,32,78,78
861,27,78,78
862,25,78,83
863,27,78,80
864,28,78,78
865,25,78,80
866,30,78,78
867,35,78,78
868,26,78,81
869,23,78,85
870,33,78,78
871,24,78,83
872,21,78,85
873,29,78,78
874,26,78,80
875,27,78,78
876,23,78,85
877,31,78,78
878,24,78,82
879,36,78,78
880,27,78,80
881,26,78,80
882,30,78,78
883,28,78,78
884,30,78,78
885,30,78,78
886,18,78,89
887,31,78,78
888,31,78,78
889,29,78,79
890,28,78,78
891,31,78,78
892,33,78,78
893,25,78,81
894,30,78,78
895,29,78,78
896,27,78,80
897,31,78,78
898,25,78,79
899,26,78,80
900,27,78,78
901,30,78,78
902,24,78,83
903,28,78,78
904,22,78,85
905,30,78,78
906,28,78,78
907,26,78,79
908,28,78,79
909,31,78,78
910,31,78,78
911,29,78,78
912,28,78,79
913,30,78,78
914,22,78,85
915,26,78,78
916,24,78,83
917,32,78,78
918,27,78,79
919,23,78,82
920,26,78,82
921,34,78,78
922,26,78,81
923,23,78,85
924,25,77,77
925,28,77,77
926,24,77,83
927,27,77,79
928,28,77,77
929,27,77,78
930,29,77,77
931,26,77,78
932,26,77,80
933,18,77,89
934,24,77,82
935,32,77,77
936,32,77,77
937,33,77,77
938,32,77,77
939,28,77,77
940,24,77,81
941,34,77,77
942,28,77,78
943,23,77,83
944,28,77,77
945,29,77,77
946,28,77,77
947,28,77,77
948,36,77,77
949,27,77,77
950,23,77,84
951,37,77,77
952,21,77,85
953,20,77,85
954,29,77,77
955,36,77,77
956,35,77,77
957,25,77,77
958,26,77,80
959,26,77,80
960,33,77,77
961,29,77,77
962,26,77,78
963,31,77,77
964,27,77,80
965,28,77,77
966,20,77,86
967,26,77,80
968,31,77,77
969,29,77,77
970,25,77,81
971,29,77,77
972,29,77,77
973,26,77,79
974,26,77,77
975,24,77,83
976,29,77,77
977,26,77,77
978,25,77,79
979,24,77,82
980,24,77,82
981,27,77,77
982,29,77,77
983,31,77,77
984,25,77,83
985,23,77,83
